9.0956 	EXP 	window1: mouseVisible = True
9.0959 	EXP 	window1: mouseVisible = True
9.0962 	EXP 	window1: mouseVisible = True
9.0990 	EXP 	window1: mouseVisible = True
9.0991 	EXP 	window1: mouseVisible = True
9.0994 	EXP 	window1: mouseVisible = True
9.0996 	EXP 	window1: mouseVisible = True
9.1019 	EXP 	window1: mouseVisible = True
9.1051 	EXP 	Created text_no_resp = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-8.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='Arabic', name='text_no_resp', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='.ﺪﺸﻧ ﺖﻓﺎﯾﺭﺩ ﯽﺨﺳﺎﭘ', units='height', win=Window(...), wrapWidth=1)
0.0190 	EXP 	left_learning_reward: autoLog = True
0.0190 	EXP 	right_learning_reward: autoLog = True
0.0379 	INFO 	Keyboard events cleared
0.0371 	EXP 	text1: autoDraw = True
1.6850 	EXP 	Created sequence: random, trialTypes=1, nReps=20, seed=None
1.6852 	EXP 	New trial (rep=0, index=0): None
1.6870 	DATA 	Keypress: space
1.6948 	EXP 	text1: autoDraw = False
1.6948 	EXP 	fixation1: autoDraw = True
2.6795 	EXP 	window1: backgroundImage = ''
2.6796 	EXP 	window1: backgroundFit = 'none'
2.7351 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.7367 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.7380 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.7393 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.7403 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.7416 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
2.7428 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
